Submission_ID,Respondent_ID,Submitted_at,Loan_Id,NPS_Score,NPS_Reason,NPS_Improve,NPS_Quality,NPS_Support,NPS_Delay,NPS_Support_Challenge,NPS_Support_Challenge_Details,NPS_Battery,NPS_App,NPS_Communication,NPS_Phone_Lock,NPS_Feedback
BzK4Q11,k4z1Y6,2025-04-22 15:15:00,rec2FCxHhqXw6aKRU,6.0,,,Yes,Yes,Yes,Yes,Unlocking my phone,No,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,
b59V45Z,AY9GMk,2025-04-22 15:18:00,recQcLWbPcep18Wdw,10.0,,,Yes,Yes,No,No,Response team always on time,No,"Yes, and I am satisfied with the MoApp",Free SMS – 25044,No,Would like to upgrade once I'm done with this loan
GxKvYKO,eGz8Ek,2025-04-22 15:31:00,recei9UEU0e5F9HuG,5.0,,,No,No,No,Yes,"I bought a Samsung A42 which has fingerprint lock that doesn't work since I bought it from ABC, I took it back and it's wasn't fixed.. Then the Phone has an on and Off network issues",No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,Yes,Good service and efficient response
A7KP49z,LjOx7j,2025-04-22 15:40:00,recosDWAJvWzAKgLv,1.0,,,No,No,Yes,Yes,Delays,Yes,"Yes, but I am not satisfied with the MoApp",,,
81zo6pr,7YE0RR,2025-04-22 15:40:00,recTJng0Mj0dJP1kv,1.0,,,No,No,Yes,Yes,Not satisfied with my phone,Yes,"Yes, but I am not satisfied with the MoApp",MoPhones App,Yes,Not satisfied with my phone
xXjxR5J,RQjeLp,2025-04-22 15:41:00,recPKFOtpkS0z9Kpp,10.0,,,Yes,Yes,No,No,.,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,.
GxKvQ6L,ljz2Mo,2025-04-22 15:41:00,rechy4Nf0Ihxrdy85,10.0,,,,,,,,,,,,
rjBykB2,k4zjvo,2025-04-22 15:42:00,recayIesPKGAMilkX,0.0,,,,,,,,,,,,
5B4KeaM,k4zjZJ,2025-04-22 15:42:00,rec86PnPzgTEunR4Q,9.0,,,No,No,Yes,Yes,There is a lot to be,No,"Yes, and I am satisfied with the MoApp",MoPhones App,Yes,
5B4Kp16,rQY9pN,2025-04-22 15:44:00,recJKsUBTzHl4IGK3,10.0,,,Yes,Yes,Yes,"No, I have never looked for customer care",,No,"Yes, and I am satisfied with the MoApp",Phone Call – +254 728 444 442 or +254 709 924 404,No,
